18;2;4;PANDA SECURITY S.L.;red;1;2012-05-17 18:29:42;2012-05-17 18:29:42
19;2;4;WWW.TPVMARKET.COM;red;1;2012-05-17 18:34:44;2012-05-17 18:34:44
23;2;4;Ricardo Bartolomé Martínez;red;1;2012-05-21 18:56:20;2012-05-21 18:56:20
24;2;4;Sara Veiga Sánchez;red;1;2012-05-21 18:56:13;2012-05-21 18:56:13
25;2;4;EURO SECURYTEC;red;1;2014-09-29 11:09:03;2014-09-29 11:09:03
26;2;4;RP CERRAJERIA;red;1;2012-05-21 11:30:50;2012-05-21 11:30:50
29;2;4;Winzip Computing S.L.;red;1;2012-05-21 19:32:43;2012-05-21 19:32:43
30;2;8;HEWLETT-PACKARD ESPAÑOLA, S.L.;red;1;2012-05-21 19:38:56;2012-05-21 19:38:56
31;2;2;Impuestos;red;1;2018-02-07 09:59:40;2018-02-07 09:59:40
33;2;4;TALLER SOTO;red;1;2012-05-29 11:07:41;2012-05-29 11:07:41
40;2;8;RANDOM MARKETING;red;1;2012-06-27 10:47:04;2012-06-27 10:47:04
42;2;5;SM Aurum;red;1;2012-07-13 10:29:14;2012-07-13 10:29:14
43;2;5;EVA ORO;red;1;2017-04-04 18:15:33;2017-04-04 18:15:33
45;2;4;Orange;red;1;2012-08-01 10:40:50;2012-08-01 10:40:50
46;2;8;GLOBALTELCO COLMENAR;red;1;2012-08-06 10:06:10;2012-08-06 10:06:10
48;2;5;Motriz Fisioterapia SLP;red;1;2016-04-26 10:10:22;2016-04-26 10:10:22
50;2;5;MANTENIMIENTOS DOMICILIADOS;red;1;2012-09-05 10:45:00;2012-09-05 10:45:00
51;2;8;MEDIA MARKT (VIEJO);red;1;2016-12-02 11:24:27;2016-12-02 11:24:27
52;2;8;SUPERINVENTOS.COM;red;1;2012-09-28 13:13:50;2012-09-28 13:13:50
53;2;8;Joyería Grema;red;1;2012-10-24 10:15:52;2012-10-24 10:15:52
54;2;8;Avantsec.com;red;1;2012-11-05 10:22:16;2012-11-05 10:22:16
56;2;4;Mensario;red;1;2012-11-08 10:39:02;2012-11-08 10:39:02
58;2;5;Art Tobacco Promotion;red;1;2013-01-10 10:17:31;2013-01-10 10:17:31
60;2;8;IRIHER AUTOMOTIVE, S.L.;red;1;2013-02-26 12:45:17;2013-02-26 12:45:17
61;2;5;EMPEÑOS ORO CENTRO, S.L;red;1;2013-03-05 10:24:54;2013-03-05 10:24:54
62;2;4;Google Ireland, Ltd.;red;1;2013-03-05 11:41:59;2013-03-05 11:41:59
63;2;4;MOVILNORTE;red;1;2013-03-13 17:17:26;2013-03-13 17:17:26
64;2;8;PRINK BETANZOS;red;1;2013-04-02 10:39:12;2013-04-02 10:39:12
66;2;4;directnic;red;1;2013-06-03 11:15:08;2013-06-03 11:15:08
67;2;8;COLORTRONIC;red;1;2013-08-26 17:47:46;2013-08-26 17:47:46
69;2;8;PANEL 2000;red;1;2013-08-26 18:12:54;2013-08-26 18:12:54
70;2;5;WORLD TOBACCO;red;1;2013-09-06 18:17:13;2013-09-06 18:17:13
71;2;5;YAJAP;red;1;2018-03-13 13:48:28;2018-03-13 13:48:28
72;2;8;Worten;red;1;2013-10-01 12:03:40;2013-10-01 12:03:40
78;2;4;CUZCO MOTOR;red;1;2014-01-03 14:17:47;2014-01-03 14:17:47
81;2;4;GRUPSA;red;1;2019-02-19 13:04:16;2019-02-19 13:04:16
